departamento,habilitados,municipio,votantes,votos_no_marcados,votos_nulos,votacion
Consulados,5576,Belgica,527,17,34,camara
Putumayo,11005,Puerto Guzman,4610,134,323,camara
Meta,5327,Mapiripan,1732,142,189,camara
Vaupes,1703,Caruru,886,20,30,camara
Huila,41819,La Plata,20329,857,1375,camara
Santander,4190,Guepsa,1877,77,129,camara
La Guajira,54042,Manaure,23620,1370,2492,camara
Cundinamarca,4477,San Cayetano,1995,49,109,camara
Choco,8234,Bagado,3817,58,205,camara
Antioquia,22490,Arboletes,11473,459,937,camara
Valle,14125,Calima (darien),5804,178,537,camara
Consulados,3801,Sudafrica,67,0,2,camara
Consulados,4049,Rusia,62,2,10,camara
Bolivar,9498,Margarita,5321,71,265,camara
Cesar,27477,Bosconia,14504,394,1279,camara
Boyaca,3747,Mongui,1752,26,152,camara
Caqueta,11184,La Montañita,4346,142,291,camara
Boyaca,8171,Santa Rosa De Viterbo,4742,116,341,camara
Cauca,19399,Miranda,10353,463,1113,camara
Antioquia,14159,San Carlos,5981,264,465,camara
Santander,2433,Confines,1402,39,93,camara
Nariño,9977,Chachagui,6798,158,485,camara
Antioquia,18300,Fredonia,6586,278,538,camara
Valle,13031,La Cumbre,5926,152,376,camara
Consulados,7060,Aruba,791,27,29,camara
Risaralda,403149,Pereira,199491,5002,21825,camara
Huila,8025,Tesalia (carnicerias),4100,162,298,camara
Santander,6957,San Andres,3479,114,276,camara
Caqueta,19106,Cartagena Del Chaira,4737,254,464,camara
Cauca,12619,Almaguer,4962,618,322,camara
Risaralda,12280,Santuario,5293,215,416,camara
Consulados,3740,Egipto,21,0,0,camara
Antioquia,16829,La Union,8449,290,681,camara
Bolivar,4837,Regidor,2878,104,196,camara
Cesar,22774,El Copey,11525,484,1097,camara
Quindio,33750,Montenegro,15555,652,2056,camara
Norte De San,3472,Santiago,2196,27,143,camara
Atlantico,20543,Palmar De Varela,14224,374,922,camara
Antioquia,27509,Sonson,10957,665,1163,camara
Santander,5460,Puerto Parra,2226,84,200,camara
